0 {'X': 0, 'Y': 0, 'F': 'EAST'}
1 {'X': 1, 'Y': 0, 'F': 'EAST'}
2 {'X': 2, 'Y': 0, 'F': 'EAST'}
3 {'X': 3, 'Y': 0, 'F': 'EAST'}
4 {'X': 3, 'Y': 0, 'F': 'SOUTH'}
5 {'X': 3, 'Y': 0, 'F': 'WEST'}
6 {'X': 3, 'Y': 0, 'F': 'NORTH'}
7 {'X': 3, 'Y': 1, 'F': 'NORTH'}
8 {'X': 3, 'Y': 1, 'F': 'WEST'}
9 {'X': 2, 'Y': 1, 'F': 'WEST'}
10 {'X': 1, 'Y': 1, 'F': 'WEST'}
11 {'X': 1, 'Y': 1, 'F': 'SOUTH'}
12 {'X': 1, 'Y': 1, 'F': 'EAST'}
13 {'X': 1, 'Y': 1, 'F': 'NORTH'}
14 {'X': 1, 'Y': 1, 'F': 'EAST'}
15 {'X': 2, 'Y': 1, 'F': 'EAST'}
16 {'X': 2, 'Y': 1, 'F': 'SOUTH'}
17 {'X': 2, 'Y': 1, 'F': 'EAST'}
18 {'X': 2, 'Y': 1, 'F': 'SOUTH'}
19 {'X': 2, 'Y': 1, 'F': 'WEST'}
20 {'X': 2, 'Y': 1, 'F': 'SOUTH'}
21 {'X': 2, 'Y': 0, 'F': 'SOUTH'}
22 {'X': 2, 'Y': 0, 'F': 'EAST'}
23 {'X': 2, 'Y': 0, 'F': 'SOUTH'}
24 {'X': 2, 'Y': 0, 'F': 'WEST'}
25 {'X': 2, 'Y': 0, 'F': 'NORTH'}
26 {'X': 2, 'Y': 0, 'F': 'WEST'}
27 {'X': 2, 'Y': 0, 'F': 'NORTH'}
28 {'X': 2, 'Y': 1, 'F': 'NORTH'}
29 {'X': 2, 'Y': 1, 'F': 'EAST'}
30 {'X': 2, 'Y': 1, 'F': 'NORTH'}
31 {'X': 2, 'Y': 1, 'F': 'WEST'}
32 {'X': 2, 'Y': 1, 'F': 'NORTH'}
33 {'X': 2, 'Y': 2, 'F': 'NORTH'}
34 {'X': 2, 'Y': 3, 'F': 'NORTH'}
35 {'X': 2, 'Y': 3, 'F': 'WEST'}
36 {'X': 2, 'Y': 3, 'F': 'NORTH'}
37 {'X': 2, 'Y': 3, 'F': 'WEST'}
38 {'X': 2, 'Y': 3, 'F': 'NORTH'}
39 {'X': 2, 'Y': 3, 'F': 'EAST'}
40 {'X': 2, 'Y': 3, 'F': 'SOUTH'}
41 {'X': 2, 'Y': 3, 'F': 'WEST'}
42 {'X': 2, 'Y': 3, 'F': 'NORTH'}
43 {'X': 2, 'Y': 4, 'F': 'NORTH'}
44 {'X': 2, 'Y': 4, 'F': 'EAST'}
45 {'X': 2, 'Y': 4, 'F': 'SOUTH'}
46 {'X': 2, 'Y': 4, 'F': 'WEST'}
47 {'X': 1, 'Y': 4, 'F': 'WEST'}
48 {'X': 1, 'Y': 4, 'F': 'NORTH'}
49 {'X': 1, 'Y': 4, 'F': 'WEST'}
50 {'X': 1, 'Y': 4, 'F': 'SOUTH'}
51 {'X': 1, 'Y': 4, 'F': 'EAST'}
52 {'X': 2, 'Y': 4, 'F': 'EAST'}
53 {'X': 2, 'Y': 4, 'F': 'SOUTH'}
54 {'X': 2, 'Y': 4, 'F': 'WEST'}
55 {'X': 2, 'Y': 4, 'F': 'SOUTH'}
56 {'X': 2, 'Y': 3, 'F': 'SOUTH'}
57 {'X': 2, 'Y': 3, 'F': 'EAST'}
58 {'X': 3, 'Y': 3, 'F': 'EAST'}
59 {'X': 3, 'Y': 3, 'F': 'NORTH'}
60 {'X': 3, 'Y': 4, 'F': 'NORTH'}
61 {'X': 3, 'Y': 4, 'F': 'WEST'}
62 {'X': 3, 'Y': 4, 'F': 'SOUTH'}
63 {'X': 3, 'Y': 4, 'F': 'WEST'}
64 {'X': 3, 'Y': 4, 'F': 'SOUTH'}
65 {'X': 3, 'Y': 4, 'F': 'EAST'}
66 {'X': 4, 'Y': 4, 'F': 'EAST'}
67 {'X': 4, 'Y': 4, 'F': 'NORTH'}
68 {'X': 4, 'Y': 4, 'F': 'WEST'}
69 {'X': 4, 'Y': 4, 'F': 'NORTH'}
70 {'X': 4, 'Y': 4, 'F': 'WEST'}
71 {'X': 3, 'Y': 4, 'F': 'WEST'}
72 {'X': 2, 'Y': 4, 'F': 'WEST'}
73 {'X': 2, 'Y': 4, 'F': 'NORTH'}
74 {'X': 2, 'Y': 4, 'F': 'EAST'}
75 {'X': 2, 'Y': 4, 'F': 'NORTH'}
76 {'X': 2, 'Y': 5, 'F': 'NORTH'}
ValueError: Y values must be within range 0-5
